Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-07-14T22:59:59.633Z,6254.6781291793,6254.7990075078,6323.0382556735,6182.0837229264
BTC,2018-07-15T23:00:00.264Z,6366.3499035552,6254.6781292371,6398.4681526594,6230.8489470154
BTC,2018-07-16T22:59:59.570Z,6671.6259190668,6356.1088751698,6709.1598240101,6335.1231568593
BTC,2018-07-17T23:00:00.518Z,7315.5510403376,6727.4563368665,7379.2347439433,6658.4086588742
BTC,2018-07-18T23:00:00.074Z,7359.7370183427,7316.1477118699,7581.5707388105,7245.3031110059
BTC,2018-07-19T22:59:59.390Z,7484.6396703854,7359.7370362237,7557.5130873787,7282.7727944508
BTC,2018-07-20T23:00:00.239Z,7357.4456773198,7484.6396626807,7697.0053450404,7281.4064978023
BTC,2018-07-21T23:00:00.155Z,7424.7342378111,7337.2820905188,7456.4643843467,7215.3270219278
BTC,2018-07-22T23:00:00.021Z,7411.2005247349,7424.5035031436,7571.7404506387,7341.5231649182
BTC,2018-07-23T23:00:00.112Z,7730.2474798128,7400.4646611346,7805.4912488458,7374.2513592577
BTC,2018-07-24T23:00:00.709Z,8325.8015336658,7730.2481771742,8359.319473753,7695.9828373707
BTC,2018-07-25T23:00:00.584Z,8271.5979196832,8320.1599473233,8486.0116795769,8056.0185645714
BTC,2018-07-26T23:00:00.173Z,7925.2473958792,8269.5323354969,8313.1266808228,7914.6009358296
BTC,2018-07-27T23:00:00.963Z,8254.2773483423,7933.125250505,8277.7036619011,7801.0094432898
BTC,2018-07-28T22:59:59.507Z,8184.6955351747,8182.375003005,8233.4821023714,8063.3261162412
BTC,2018-07-29T23:00:00.230Z,8201.8900899474,8184.6960858239,8292.5156584871,8119.7133096018
BTC,2018-07-30T22:59:59.677Z,8166.3883602012,8215.2159687792,8274.5337573392,7862.0742828965
BTC,2018-07-31T23:00:00.541Z,7700.8341285235,8166.6883994459,8198.4846169029,7666.2908836583
BTC,2018-08-01T23:00:00.095Z,7588.5861802231,7732.3472908783,7751.8776504108,7440.2415057795
BTC,2018-08-02T23:00:00.182Z,7547.3149505122,7589.374917258,7698.4871385663,7460.2950003976
BTC,2018-08-03T22:59:59.699Z,7423.0743779862,7527.0403990273,7533.6672633658,7271.202486843
BTC,2018-08-04T23:00:00.160Z,7396.0411215425,7423.0750930062,7501.3160290672,7359.2368129034
BTC,2018-08-05T23:00:00.090Z,7411.5152993623,7395.622456196,7413.1308105304,7386.0620769851
BTC,2018-08-06T22:59:59.932Z,7402.3366337439,7411.5152998302,7417.4086883999,7401.3750708468
BTC,2018-08-07T23:00:00.307Z,6748.4414841816,7402.3366314849,7412.2874611911,6678.2855604394
BTC,2018-08-08T23:00:00.794Z,6460.1531550102,6721.4350901721,6750.4083122841,6396.0883363517
BTC,2018-08-09T23:00:00.465Z,6482.9734487615,6460.1536974665,6483.4980648504,6455.9907009479
BTC,2018-08-10T23:00:00.654Z,6092.5331036604,6482.9687238409,6494.0163846345,6008.8548549331
BTC,2018-08-11T23:00:00.161Z,6391.5992583652,6101.8564779009,6473.2716582988,5982.2156316647
BTC,2018-08-12T22:59:59.504Z,6338.7389567451,6392.9727447014,6450.7243099506,6147.7605088678
BTC,2018-08-13T22:59:59.990Z,6260.1929950271,6338.7389033859,6532.5990168582,6150.2248155528
BTC,2018-08-14T22:59:59.927Z,6123.4476006082,6256.8440822464,6285.5576896057,5884.7792586111
BTC,2018-08-15T22:59:59.810Z,6332.6068999281,6186.9712074961,6587.3179578144,6180.2554202378
BTC,2018-08-16T23:00:00.352Z,6273.8880695393,6332.6068999537,6467.8624497653,6210.1614234161
BTC,2018-08-17T23:00:00.346Z,6566.5952833952,6277.0417762545,6572.9310929332,6259.3899567864
BTC,2018-08-18T22:59:59.677Z,6396.9463686172,6559.6938370996,6616.6767520854,6300.1149937042
BTC,2018-08-19T22:59:59.721Z,6516.6683821435,6391.0862687126,6539.9647240249,6302.2073816135
BTC,2018-08-20T22:59:59.887Z,6299.3953331255,6516.7725719977,6523.486096747,6280.3263280069
BTC,2018-08-21T23:00:00.063Z,6470.7335666523,6252.3288590532,6494.6650108453,6240.9018857525
BTC,2018-08-22T22:59:59.993Z,6355.8818088457,6470.0745108827,6882.8359061978,6250.6538226051
BTC,2018-08-23T22:59:59.910Z,6503.8323619614,6360.2169851987,6559.279488976,6347.0795383729
BTC,2018-08-24T22:59:59.068Z,6675.3606827832,6525.5266629003,6711.4936651318,6456.798837183
BTC,2018-08-25T22:59:59.952Z,6725.0323269894,6683.3545015052,6781.0758889115,6657.3875324947
BTC,2018-08-26T22:59:59.890Z,6689.8226825962,6725.0323270063,6776.8964057782,6570.7298220145
BTC,2018-08-27T23:00:00.943Z,6756.6289258733,6702.3919499644,6768.3055151323,6646.1680142
BTC,2018-08-28T22:59:59.652Z,7084.2936167368,6753.3104499758,7126.7305347283,6739.1907150636
BTC,2018-08-29T22:59:59.240Z,7059.2312352573,7079.5406126455,7133.6466309557,6923.6455309778
BTC,2018-08-30T23:00:00.137Z,6938.9145822993,7040.0750124576,7063.4405102579,6805.1985140589
BTC,2018-08-31T22:59:59.865Z,7028.447311566,6938.7629415769,7089.1748004802,6877.2867329365
BTC,2018-09-01T22:59:59.404Z,7198.0584362259,7028.4473112812,7273.5269247295,7002.3411062864
BTC,2018-09-02T22:59:59.965Z,7282.8585138311,7198.0579483792,7339.812043633,7130.1722508603
BTC,2018-09-03T22:59:59.783Z,7260.2515925593,7282.2317506289,7335.4550820599,7198.2649813613
BTC,2018-09-04T22:59:59.331Z,7361.2718642376,7263.0672965937,7417.6670369068,7240.3767384829
BTC,2018-09-05T22:59:59.788Z,6913.1150129363,7359.9743614374,7399.5386039947,6860.7727637815
BTC,2018-09-06T23:00:00.373Z,6471.493883654,6913.1150129363,6927.0940913586,6301.9363303141
BTC,2018-09-07T22:59:59.654Z,6400.2687056583,6515.3934895131,6539.7988126144,6318.9522293163
BTC,2018-09-08T22:59:59.875Z,6181.7442069566,6400.3352995888,6479.2026402878,6120.293703961
BTC,2018-09-09T22:59:59.484Z,6253.9372013424,6183.9777801483,6447.3137818127,6144.9240462963
BTC,2018-09-10T23:00:00.701Z,6275.0831321787,6253.9358630803,6379.8101101151,6226.2448265281
BTC,2018-09-11T23:00:00.185Z,6275.6695882724,6275.0862858054,6278.4770014947,6270.7841626348
BTC,2018-09-12T23:00:00.368Z,6277.4944091253,6275.6679619637,6278.1280336098,6270.935037184
BTC,2018-09-13T22:59:59.634Z,6283.1841998225,6277.2328882184,6284.2477044468,6277.2304308018
BTC,2018-09-14T23:00:00.101Z,6285.9824663114,6283.1844998379,6287.3646496692,6279.938808465
BTC,2018-09-15T23:00:00.546Z,6280.3101068801,6284.4863926488,6286.252577777,6279.3480367699
BTC,2018-09-16T22:59:59.921Z,6281.4093556542,6280.0413137918,6282.0950069528,6277.6007466855
