Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-07-12,11802.9599635884,11324.2018284256,11919.9220616201,11100.0885124471
BTC,2019-07-13,11279.6027356333,11796.7721497272,11830.8083720294,10826.035155074
BTC,2019-07-14,10506.3958273087,11402.9673057725,11463.2425199775,10316.7494887593
BTC,2019-07-15,10934.4827395525,10506.3482141274,10954.8240496507,9872.0272432166
BTC,2019-07-17,9490.4105157548,10934.4726429778,11075.3528200893,9404.3521963551
BTC,2019-07-18,9733.1321340919,9490.4381272323,9972.2451099106,9085.4894989784
BTC,2019-07-19,10466.2609381509,9693.4865106171,10797.6384591308,9282.6429998444
BTC,2019-07-21,10551.1316333347,10533.9632516606,11096.7744188936,10314.2661819319
BTC,2019-07-23,10027.5326122485,10551.127853068,10685.2481729702,9882.631831681
BTC,2019-07-24,9771.5047613175,9867.2650278599,9916.4775798314,9510.6239874291
BTC,2019-07-25,9897.4293515161,9771.5048190312,10184.4403703329,9738.0890848498
BTC,2019-07-27,9812.2263505784,9897.4134463384,9924.6025631283,9643.8818286496
BTC,2019-07-28,9495.855261405,9812.2066384441,10193.5339692602,9134.3993522774
BTC,2019-07-29,9506.704273142,9528.6934430847,9717.5142776084,9373.36942847
BTC,2019-07-31,10005.2944733245,9506.6980276749,10132.4047252828,9387.2237202366
BTC,2019-08-01,10385.2006061246,10005.2892918685,10474.7817377768,9884.7377276261
BTC,2019-08-02,10513.9114715942,10385.2129717491,10663.6187858619,10329.1969177772
BTC,2019-08-03,10831.2598554087,10513.9147450743,10909.2559240906,10498.9444263068
BTC,2019-08-04,10985.8075416287,10831.2503019415,11051.9857922455,10573.7772973823
BTC,2019-08-05,11811.7870541507,10985.8308827386,11940.4838657553,10939.5690792781
BTC,2019-08-06,11310.187223605,11811.8035625011,12314.107664862,11219.4037828653
BTC,2019-08-07,11956.0472230184,11310.2216405931,12129.4097391128,11283.6761111563
BTC,2019-08-09,11827.5745716918,11956.0228070619,12032.0465280883,11502.5279891368
BTC,2019-08-11,11278.2812549022,11827.5745728427,11967.8779622672,11227.6222137083
BTC,2019-08-12,11391.9686539038,11279.875538619,11583.8906973405,11101.0148454184
BTC,2019-08-13,10869.3791128623,11391.9638254355,11434.8885296357,10746.7559476825
BTC,2019-08-14,10211.4985816982,10851.200469968,10860.8239741865,10047.9951301391
BTC,2019-08-16,10386.5395500195,10211.509511264,10444.0799631082,9682.7114223927
BTC,2019-08-17,10212.1014417394,10307.2597589846,10530.365307162,9726.9781503814
BTC,2019-08-18,10335.3728385716,10211.6709254074,10462.7495056741,10082.2654915398
BTC,2019-08-20,10818.5070076193,10335.3744772756,10943.8704129867,10264.4564614099
BTC,2019-08-21,10064.9167944793,10818.5226287878,10818.5891317862,9864.136684453
BTC,2019-08-23,10364.2813536875,10064.9310569138,10450.2923381724,9762.0524126348
BTC,2019-08-25,10068.922419922,10392.6163373387,10408.9638527379,9901.48601199
BTC,2019-08-26,10312.2150398496,10138.5708591703,10624.6051684248,10136.0717230708
BTC,2019-08-28,9743.1620510451,10312.1968630254,10402.2974923049,9600.8350390244
BTC,2019-08-29,9487.9764335192,9743.1587296904,9747.1198283495,9325.3941544287
BTC,2019-08-30,9590.7363369227,9487.9600487016,9682.7255361249,9343.706051107
BTC,2019-08-31,9624.9839105321,9580.7613524785,9699.8643785368,9406.4444841648
BTC,2019-09-01,9780.6678970327,9624.9799668178,9819.1586219728,9552.150793747
