Date,Currency,Open,High,Low,Close,Volume BTC,Volume USD
2018-07-01,BTC,6389.01,6430.01,6254.23,6345.53,1839.49,11680577.5
2018-07-02,BTC,6345.53,6673.9,6267.68,6615.13,4595.13,29812470.48
2018-07-03,BTC,6615.13,6669.47,6463.17,6508.36,4316.24,28405008.22
2018-07-04,BTC,6508.36,6794.53,6313.27,6583.72,4430.9,28979165.74
2018-07-05,BTC,6583.72,6700.0,6446.68,6529.47,5533.27,36422647.86
2018-07-06,BTC,6529.47,6641.09,6451.31,6582.51,3417.14,22353665.84
2018-07-07,BTC,6587.45,6848.84,6510.17,6754.14,2417.43,16003935.02
2018-07-08,BTC,6754.14,6782.95,6669.0,6700.88,1966.12,13243386.64
2018-07-09,BTC,6700.88,6798.97,6620.0,6666.0,2748.76,18417559.21
2018-07-10,BTC,6666.0,6683.68,6262.94,6299.0,5598.94,36155373.0
2018-07-11,BTC,6299.0,6400.0,6287.54,6380.0,3416.38,21678518.88
2018-07-12,BTC,6380.0,6380.0,6075.0,6249.75,3131.49,19414473.3
2018-07-13,BTC,6249.75,6331.16,6128.32,6203.79,1035.7,6450862.83
2018-07-14,BTC,6210.0,6321.58,6185.19,6250.02,488.73,3044549.28
2018-07-15,BTC,6250.02,6382.7,6233.14,6347.99,904.84,5720351.74
2018-07-16,BTC,6347.99,6747.65,6334.47,6729.22,2858.41,18800372.19
2018-07-17,BTC,6729.22,7464.98,6657.66,7322.78,4768.21,33441709.84
2018-07-18,BTC,7322.78,7584.03,7241.19,7378.55,4611.27,34177313.64
2018-07-19,BTC,7378.55,7557.28,7285.37,7466.58,3843.11,28493456.82
2018-07-20,BTC,7466.58,7676.31,7272.01,7334.8,2991.94,22225290.03
2018-07-21,BTC,7334.8,7459.81,7214.96,7408.79,584.52,4295046.32
2018-07-22,BTC,7408.79,7567.8,7333.98,7400.37,734.34,5481433.27
2018-07-23,BTC,7400.37,7810.0,7378.89,7713.62,3363.31,25863287.55
2018-07-24,BTC,7713.62,8480.0,7700.0,8400.73,4541.37,36903770.08
2018-07-25,BTC,8400.73,8480.0,8039.99,8160.0,3815.41,31429136.47
2018-07-26,BTC,8160.0,8290.0,7843.05,7926.36,3460.55,28220038.28
2018-07-27,BTC,7926.36,8269.62,7795.0,8192.21,3763.01,30210292.58
2018-07-28,BTC,8192.21,8234.98,8055.67,8234.98,895.24,7297971.06
2018-07-29,BTC,8234.98,8280.0,8120.34,8216.06,492.38,4043646.83
2018-07-30,BTC,8216.06,8274.97,7849.54,8166.86,2951.63,23894009.03
2018-07-31,BTC,8166.86,8184.07,7640.33,7725.05,3512.21,27587934.27
2018-08-01,BTC,7725.05,7751.28,7431.0,7602.14,2227.75,16850557.85
2018-08-02,BTC,7602.14,7706.7,7456.52,7536.0,1663.16,12612346.77
2018-08-03,BTC,7536.0,7536.01,7291.5,7413.7,2439.32,18031782.32
2018-08-04,BTC,7413.7,7485.0,6930.37,7014.55,1463.33,10421504.07
2018-08-05,BTC,7014.55,7084.95,6891.0,7032.06,779.95,5441639.14
2018-08-06,BTC,7032.06,7184.0,6835.0,6931.59,1789.55,12437634.3
2018-08-07,BTC,6931.59,7148.53,6670.5,6720.18,2389.89,16594592.98
2018-08-08,BTC,6720.18,6720.18,6104.82,6274.5,5724.47,36488150.19
2018-08-09,BTC,6274.5,6626.62,6195.01,6540.47,3450.8,22107421.86
2018-08-10,BTC,6540.47,6588.97,6010.5,6109.19,3362.86,21227385.62
2018-08-11,BTC,6109.19,6208.0,6013.61,6091.87,1536.17,9395605.1
2018-08-12,BTC,6091.87,6091.87,6091.87,6091.87,0.0,0.0
2018-08-13,BTC,6318.21,6546.29,6150.0,6257.31,3190.8,20164785.38
2018-08-14,BTC,6257.31,6262.44,5886.0,6196.17,6264.38,37887453.74
2018-08-15,BTC,6196.17,6623.09,6187.68,6269.74,4706.48,30064668.33
2018-08-16,BTC,6269.74,6475.0,6210.04,6313.83,2781.29,17717210.19
2018-08-17,BTC,6313.83,6580.76,6292.36,6580.76,3322.57,21597295.71
2018-08-18,BTC,6580.76,6619.79,6300.0,6389.99,1429.1,9173905.74
2018-08-19,BTC,6389.99,6552.23,6317.73,6491.5,1082.46,6946616.32
2018-08-20,BTC,6491.5,6524.06,6232.21,6258.36,2762.95,17630966.04
2018-08-21,BTC,6258.36,6493.0,6250.0,6476.53,2000.23,12790616.86
2018-08-22,BTC,6476.53,6900.0,6251.0,6350.0,6588.74,43169169.56
2018-08-23,BTC,6350.0,6570.85,6347.73,6524.17,2942.35,18946723.4
2018-08-24,BTC,6524.17,6728.46,6450.01,6692.0,3411.43,22349075.27
2018-08-25,BTC,6692.0,6788.88,6669.7,6730.95,1059.24,7125580.14
2018-08-26,BTC,6730.95,6767.99,6571.0,6706.31,1000.44,6671216.97
2018-08-27,BTC,6706.31,6938.83,6653.82,6909.0,3657.28,24664842.06
2018-08-28,BTC,6909.0,7125.0,6866.78,7075.1,4428.12,30915953.49
