Time,Low,High,Open,Close,Volume
2018-01-01 01:00:00,10019.04,10271.32,10209.73,10022.32,12.57162313
2018-01-01 02:00:00,10001.01,10138.13,10022.33,10041.23,8.75734487
2018-01-01 03:00:00,10002.86,10222.9,10092.31,10121.5,6.3095368
2018-01-01 04:00:00,10032.99,10230.6,10068.11,10230.6,4.95912579
2018-01-01 05:00:00,10121.96,10224.98,10207.47,10168.21,5.38313605
2018-01-01 06:00:00,10085.35,10300.0,10146.63,10300.0,6.47173842
2018-01-01 07:00:00,10201.86,10415.0,10300.0,10239.5,4.97739336
2018-01-01 08:00:00,10070.96,10301.65,10220.09,10113.13,6.94201791
2018-01-01 09:00:00,10089.83,10269.19,10090.3,10228.2,8.03063543
2018-01-01 10:00:00,10140.29,10237.4,10228.2,10212.8,11.83683537
2018-01-01 11:00:00,9869.72,10211.27,10211.27,9997.3,27.52656307
2018-01-01 12:00:00,9897.05,10034.91,9997.3,9970.26,13.55456865
2018-01-01 13:00:00,9800.85,9978.18,9959.58,9887.8,26.21006679
2018-01-01 14:00:00,9707.0,9970.47,9887.8,9970.47,31.91521113
2018-01-01 15:00:00,9854.71,10070.99,9970.47,9988.88,28.83449196
2018-01-01 16:00:00,9813.69,9989.23,9988.88,9850.73,23.23222137
2018-01-01 17:00:00,9846.34,9962.0,9846.34,9880.12,15.45794213
2018-01-01 18:00:00,9859.82,10031.92,9880.12,9902.39,26.19395364
2018-01-01 19:00:00,9875.0,10000.0,9905.84,9999.97,17.9074549
2018-01-01 20:00:00,9996.55,10137.24,9999.95,10115.42,18.19126908
2018-01-01 21:00:00,10084.47,10284.54,10101.08,10178.52,21.50375848
2018-01-01 22:00:00,10116.92,10267.3,10178.52,10171.87,21.027352
2018-01-01 23:00:00,10060.97,10171.87,10171.87,10120.72,14.38725774
2018-01-02 00:00:00,10113.87,10404.46,10120.72,10380.9,19.01966794
2018-01-02 01:00:00,10256.65,10418.98,10381.28,10256.65,12.05115546
2018-01-02 02:00:00,10093.4,10259.27,10238.75,10176.51,14.47162159
2018-01-02 03:00:00,9937.56,10172.08,10172.07,10043.47,9.57401957
2018-01-02 04:00:00,9621.28,10043.09,10043.09,9896.34,22.82480363
2018-01-02 05:00:00,9760.19,9937.51,9886.7,9903.4,8.66662397
2018-01-02 06:00:00,9861.5,10070.18,9903.4,10036.62,5.86171916
2018-01-02 07:00:00,9975.55,10073.4,10035.27,10064.47,12.87475934
2018-01-02 08:00:00,10052.44,10166.62,10068.45,10087.25,12.65569099
2018-01-02 09:00:00,10078.46,10231.83,10087.26,10174.92,29.06229176
2018-01-02 10:00:00,10174.91,10297.09,10174.91,10291.09,20.35718316
2018-01-02 11:00:00,10110.45,10291.1,10291.09,10215.21,29.6783709
2018-01-02 12:00:00,10167.29,10276.68,10215.06,10201.07,27.62361638
2018-01-02 13:00:00,10201.07,10467.31,10201.07,10454.47,34.49009563
2018-01-02 14:00:00,10331.54,10473.65,10454.47,10379.61,29.74063109
2018-01-02 15:00:00,10223.26,10400.0,10379.61,10281.1,32.21482953
2018-01-02 16:00:00,10176.18,10386.1,10281.1,10223.62,36.11900353
2018-01-02 17:00:00,10210.0,10350.0,10223.62,10344.02,31.00306663
2018-01-02 18:00:00,10340.81,11000.0,10347.36,10863.28,52.19780595
2018-01-02 19:00:00,10784.01,11333.81,10863.27,10999.84,72.47572599
2018-01-02 20:00:00,10926.01,11289.99,11005.58,10961.77,45.1931853
2018-01-02 21:00:00,10940.03,11122.24,10962.0,11019.78,53.12939947
2018-01-02 22:00:00,11009.91,11159.12,11019.78,11066.19,37.45330188
2018-01-02 23:00:00,10950.05,11109.96,11066.19,11033.29,21.51432385
2018-01-03 00:00:00,11000.08,11109.96,11033.29,11105.49,14.41041893
2018-01-03 01:00:00,10959.47,11120.77,11093.18,11102.16,13.66659468
