Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-01-28,105.0082800486,111.4585951733,112.3475301513,100.8689101548
ETH,2019-01-29,104.1371894495,105.4232294521,105.9885817649,102.2851845829
ETH,2019-01-30,107.571489859,104.1369390913,109.2572738536,102.9618628699
ETH,2019-01-31,106.1733014406,107.5141402595,109.946907928,104.8366869868
ETH,2019-02-01,106.1211666282,105.8107493721,106.7926356915,103.1805885389
ETH,2019-02-02,106.7283216447,106.1211677508,107.3488816606,105.1443238066
ETH,2019-02-03,106.0944999198,106.7092013309,110.1662270237,104.733603228
ETH,2019-02-04,106.240187899,106.033106874,107.9000538845,105.2332059991
ETH,2019-02-05,105.9936587395,106.2401433317,106.7151779357,105.2543571015
ETH,2019-02-06,103.9392120839,106.0126808628,106.3714783478,100.2281066932
ETH,2019-02-07,103.2855553044,103.2956520455,104.7116364742,102.7100567406
ETH,2019-02-08,116.4289744812,103.2859055186,122.1893147819,102.3980986452
ETH,2019-02-09,117.8487110475,117.9527024801,119.8365281452,116.3853593852
ETH,2019-02-10,120.3541791033,117.8486112438,121.1527323086,114.8131007264
ETH,2019-02-11,119.8905690818,120.3544952798,124.6101955719,118.2158464709
ETH,2019-02-12,120.2123398038,119.9000600182,122.3045379321,117.0696381076
ETH,2019-02-13,120.4059778238,120.9543782342,124.9783440393,119.5683735057
ETH,2019-02-14,119.8093874507,120.4345756936,123.0146428311,119.0710362354
ETH,2019-02-15,120.2850568135,119.2897881336,122.9850158772,119.0954876139
ETH,2019-02-16,122.2792164967,120.2816440732,123.4070221186,120.1800621406
ETH,2019-02-17,132.0913764116,122.2830339132,132.5506291018,121.4280412984
ETH,2019-02-18,142.6179951418,132.0833333326,146.9166314182,131.1529605356
ETH,2019-02-19,144.1606665703,144.3135748655,148.8948454943,142.4677219988
ETH,2019-02-20,145.5482540169,144.1319613327,147.1164350201,139.467396243
ETH,2019-02-21,142.8699894413,145.5498059249,148.1926589608,141.7698535895
ETH,2019-02-22,146.6658011571,144.2710961817,147.2431931097,142.4787667331
ETH,2019-02-23,157.0470866597,146.6464760033,158.7038543115,145.0117551703
ETH,2019-02-24,137.763890984,157.0405027344,164.810550368,133.5265434447
ETH,2019-02-25,138.0371413165,137.7391332464,140.5764644325,131.6922631295
ETH,2019-02-26,135.7434190968,138.036583388,138.3588512001,133.3974162438
ETH,2019-02-27,131.6677684794,135.7713840795,139.4785733566,126.043288588
ETH,2019-02-28,134.8225062414,131.6017073269,137.669033076,131.3947799127
ETH,2019-03-01,135.0662511356,134.8221983759,137.4061494107,134.2014573486
ETH,2019-03-02,131.3451771212,134.7353162452,135.5207970164,129.6586445321
ETH,2019-03-03,130.3974611771,132.1474850043,133.9691892797,130.0856239876
ETH,2019-03-04,124.7250939109,130.3973379701,130.5621234901,122.2481348449
ETH,2019-03-05,135.0005720069,125.1612073109,137.4146380411,124.6598913252
ETH,2019-03-06,137.0843769976,134.9907852234,139.5835224119,133.0811174623
ETH,2019-03-07,136.8074623786,137.0939126805,139.4915609802,134.6826753237
ETH,2019-03-08,132.3616609838,136.788275663,138.567590559,129.8461263274
ETH,2019-03-09,136.0269174012,132.7106300672,137.8407867183,132.2005986007
ETH,2019-03-10,135.3620740288,136.3902090716,136.9078854291,133.4034303258
ETH,2019-03-11,132.4076102121,134.8044892266,135.4373066435,130.655977301
ETH,2019-03-12,132.8070686592,132.4461883875,134.3241246974,127.469041664
ETH,2019-03-13,131.0407793819,132.8068615716,133.2914310739,130.166299804
ETH,2019-03-14,131.3672841037,131.0407793799,134.2672074545,128.8915678631
ETH,2019-03-15,134.9901213568,131.3674027933,136.249066713,131.2485041907
ETH,2019-03-16,140.5670429458,134.9900710231,143.5012829704,134.9611651338
ETH,2019-03-17,138.3158541993,140.3810021455,140.4071487498,136.6650847313
ETH,2019-03-18,137.3255003263,138.3259516038,141.1925474255,135.7379400447
ETH,2019-03-19,137.6186420541,136.9880792838,138.70850035,136.3273094607
ETH,2019-03-20,138.8187357275,137.6183717495,139.0857550616,135.744654638
ETH,2019-03-21,134.8007697238,138.5590735835,139.0603972222,132.3140785395
ETH,2019-03-22,136.0194987123,134.7910274134,136.995373498,134.056489333
ETH,2019-03-23,136.4499003611,135.7098431562,137.6065983039,135.541304583
ETH,2019-03-24,135.3985811821,136.4499003611,136.781789431,134.4535309838
ETH,2019-03-25,133.3026313866,135.3987134978,136.2429513742,131.9485493951
ETH,2019-03-26,133.491076466,133.3026313903,134.0453116715,131.8460824887
ETH,2019-03-27,138.0700978023,133.6068482132,138.4396785207,133.3502828326
ETH,2019-03-28,137.3131883414,138.0713549413,139.6121758174,136.9036614054
ETH,2019-03-29,141.3032261861,137.3131894522,141.9577680655,137.3054559103
ETH,2019-03-30,141.9411061732,142.9308878601,145.3971303255,140.1061777971
ETH,2019-03-31,141.3437324434,141.9411061732,142.3020308014,140.4430786403
ETH,2019-04-01,141.7132480977,141.3437324434,143.4213245899,139.6024911608
ETH,2019-04-02,162.4298499194,141.7131425735,162.4298499194,141.1391834781
ETH,2019-04-03,164.7095956211,162.4258216156,178.7461974501,161.3090185289
ETH,2019-04-04,157.0412172898,160.9538666575,164.7657107971,153.7237594135
ETH,2019-04-05,165.9009262332,157.0468402461,168.4524557544,156.4458813124
ETH,2019-04-06,165.1570911346,165.6701460262,173.1086202004,160.5805099234
ETH,2019-04-07,173.9915868596,165.1570733238,176.2497243452,164.3032370269
ETH,2019-04-08,180.2351402374,174.8922261462,186.6640292356,173.0594830604
ETH,2019-04-09,176.1470907475,180.2311269375,181.0021666632,173.9740099774
ETH,2019-04-10,176.9719356847,176.1472961606,184.5993879421,170.9414176756
ETH,2019-04-11,165.6442939753,177.6830927779,177.862885283,160.3467721447
ETH,2019-04-13,163.5799827431,165.5401782406,167.3150712195,159.6024532112
ETH,2019-04-15,161.2565403665,163.7809405687,169.3339980993,156.8817264905
ETH,2019-04-17,165.6484764816,160.9763295278,167.8432376701,160.2917735348
ETH,2019-04-18,173.6138263386,165.6484764819,175.9973429248,164.9580746846
ETH,2019-04-20,173.2030204958,174.1652914363,178.199952396,169.8921115675
ETH,2019-04-21,170.1608502648,173.2030202321,174.6680259178,166.8837057203
ETH,2019-04-23,172.812843947,170.2137798213,173.7226492564,168.6895010693
ETH,2019-04-24,166.1931801761,172.812843947,176.6144827855,162.7420444046
ETH,2019-04-26,153.910298909,166.1931789145,167.2456154369,149.2671165999
ETH,2019-04-27,157.4083036403,153.9102919492,159.137838725,153.1744018146
ETH,2019-04-29,153.6813136507,157.4083036403,157.4083036403,150.1627163138
ETH,2019-04-30,161.2913028726,153.5656808557,162.0022795529,153.5621438649
ETH,2019-05-01,157.8012725593,161.2913028726,163.4850411628,157.5398057483
ETH,2019-05-02,160.9700952503,158.8186778416,161.7107498942,157.4255982996
ETH,2019-05-03,166.1339035393,160.9700952572,169.4580391735,159.387654319
ETH,2019-05-05,162.934863507,166.2612587023,169.0984117984,158.957622265
ETH,2019-05-06,173.6051180015,162.9348543551,176.1419967011,159.4688469205
ETH,2019-05-07,173.8130613629,171.4987986882,180.9202927093,169.1960998816
ETH,2019-05-08,170.8984032061,167.5929449797,172.4007052503,164.0970315199
ETH,2019-05-10,174.1020004617,170.8987343371,176.9262576634,166.7188905747
ETH,2019-05-11,200.4883683545,173.168519845,201.074413173,173.1673539981
ETH,2019-05-13,197.3040943897,193.5311125225,208.6716873929,183.4799912987
ETH,2019-05-14,217.0781324372,197.299574602,217.1880134034,193.3100007634
ETH,2019-05-15,246.8264233208,218.4421332696,247.0957860801,218.2680924277
ETH,2019-05-16,260.330209153,246.8210856379,279.8812675402,243.6837211193
ETH,2019-05-18,239.4492648672,260.3314923783,269.7984664495,224.8613404507
ETH,2019-05-19,263.4469652197,246.883233199,263.9456184207,233.9096323688
ETH,2019-05-20,250.0415313451,263.4497712327,265.7310339819,238.6343525268
ETH,2019-05-21,255.8952567008,251.9595336965,263.4778804164,247.662872757
ETH,2019-05-22,246.4173094087,255.895224084,261.0659458043,240.1637603132
ETH,2019-05-23,245.9878269594,246.4075580041,248.3938023785,231.6547624151
ETH,2019-05-25,252.862384328,245.405348293,258.0959147549,242.3041411046
ETH,2019-05-26,264.7384592652,252.8823699745,270.6938733724,246.2654321329
ETH,2019-05-28,272.3649992891,264.7383690368,280.1591994009,264.4292805839
ETH,2019-05-29,270.4586310117,272.3645995326,274.3331889322,260.7551674862
ETH,2019-05-30,253.2695206328,269.4681278252,288.8288032669,174.8634316574
ETH,2019-06-01,268.0068681369,253.2541136244,275.0262938829,208.6338413696
ETH,2019-06-02,269.2745679847,268.0440842728,273.8313452144,210.3151090555
ETH,2019-06-04,239.0754424541,269.3504439897,270.903206546,211.3894775572
ETH,2019-06-06,246.3609227896,239.0304544976,249.2491079894,205.4552915607
ETH,2019-06-07,243.5358114445,246.1550865716,249.6906583267,198.8965083179
ETH,2019-06-08,250.9237807026,243.5257541354,254.2408274011,171.8649292171
ETH,2019-06-09,245.1594274535,250.9237245858,251.9029195749,188.9174314255
ETH,2019-06-10,229.507045803,244.337662976,245.1938418528,184.8904299066
ETH,2019-06-11,245.6023534252,229.5109983415,248.8662286248,170.4118677264
ETH,2019-06-12,257.0824435563,245.5892971941,260.1928110673,187.7823567468
ETH,2019-06-13,255.8128945716,262.4475639364,263.972121018,194.6956137005
ETH,2019-06-15,268.8329563868,255.796484994,273.3375335438,177.9932101538
ETH,2019-06-16,270.7520786339,268.838734965,278.8355813711,207.9707536504
ETH,2019-06-17,273.8801723339,270.7634289315,274.9991089154,267.553952372
ETH,2019-06-19,263.1083721665,273.9480765191,274.3078433466,261.3101545167
ETH,2019-06-20,271.8312144504,263.0697805693,274.2616507445,176.3933054764
ETH,2019-06-21,291.9443651163,271.841026782,295.189669206,247.9209067617
ETH,2019-06-22,302.0057950053,295.9257522991,315.1010619879,293.0506112326
ETH,2019-06-23,308.2046756187,301.9969434143,319.0247986214,301.9419032672
ETH,2019-06-25,316.2122784377,308.2244554592,316.4377843826,222.1409539561
ETH,2019-06-26,324.1308552907,316.2487083708,363.0531638804,314.1520308878
ETH,2019-06-28,296.1115558742,324.1522871853,342.9652397066,274.579391598
ETH,2019-06-29,314.0469441041,296.0943987475,314.3642121439,289.6351824544
ETH,2019-06-30,293.5303668714,314.0430714057,323.437760416,288.3884114973
ETH,2019-07-02,289.4528415487,293.5804697689,301.5106444968,279.0722498113
ETH,2019-07-03,291.447247814,289.4603018591,296.4545035825,271.7342248146
ETH,2019-07-04,301.4034854223,290.8884028843,301.921787863,289.2267636008
ETH,2019-07-05,288.0914835903,301.3994332354,303.5310501347,280.1610757227
ETH,2019-07-07,305.7988738872,288.0669655371,310.9137476163,284.6029071816
ETH,2019-07-08,313.7779112419,305.8018717991,314.0525399412,302.1802773712
ETH,2019-07-10,307.7689028778,313.7816513504,318.0989307004,303.436711322
ETH,2019-07-11,267.7342737532,308.34462943,314.500138178,262.2146590974
ETH,2019-07-13,267.2689248091,267.7391334504,278.9355042484,262.260216308
ETH,2019-07-14,236.8879113999,269.5569638784,270.0059582938,230.1213864345
ETH,2019-07-15,233.0681670622,236.8410261085,236.852317087,203.8575386018
ETH,2019-07-17,200.2220044059,233.0758189736,234.7755554444,190.9829445495
ETH,2019-07-18,212.2264798064,200.2471555893,219.7023791642,192.4903855176
ETH,2019-07-19,219.6537523526,211.0360477935,230.0290444241,206.3666627537
ETH,2019-07-21,225.087773767,221.0188231329,235.7427034061,217.4643023669
ETH,2019-07-23,215.5549594853,225.0844931317,228.5309067492,208.5010151329
ETH,2019-07-24,215.0665579651,212.432693047,218.0273930012,201.3905447493
ETH,2019-07-25,219.6820637044,215.0805309662,225.5042289111,214.8451667165
ETH,2019-07-27,217.9143663032,219.6669342215,220.4622073551,212.8870365048
ETH,2019-07-28,207.3703542487,217.9173500876,223.8310754298,198.1438393257
ETH,2019-07-29,211.6551176583,211.384044004,215.0349629443,206.4738275903
ETH,2019-07-31,216.0859269916,211.6403353471,218.0994618463,204.8359459109
ETH,2019-08-01,217.3123969246,216.0811054653,219.295242131,210.7865769552
ETH,2019-08-02,217.5168015503,217.3149634413,222.626643449,214.9062997638
ETH,2019-08-03,222.1538140516,217.5083335322,224.345801222,216.8259947829
ETH,2019-08-04,222.5023178606,222.1758346584,223.5262997082,217.5653394229
ETH,2019-08-05,233.0314055504,222.521763569,236.5009297095,222.0768085993
ETH,2019-08-06,224.5440762664,233.0398843787,239.2475789687,222.8415379444
ETH,2019-08-07,225.684468426,224.5519475244,230.9854118357,220.9042766092
ETH,2019-08-09,209.1745627817,225.6607662241,226.6140001779,206.5950704656
ETH,2019-08-11,205.9151551672,209.1752908943,214.3848177007,201.6468837161
ETH,2019-08-12,211.3484238007,206.0072575842,216.6276583554,205.6597807069
ETH,2019-08-13,206.996167465,211.3496170933,211.3618795117,203.4689061941
ETH,2019-08-14,189.6876230143,208.7236345427,208.9678049247,181.9398752579
ETH,2019-08-16,187.9278393382,189.6936324652,189.9109917715,180.0358101033
ETH,2019-08-17,186.3736191253,188.1461934795,188.1461934795,178.3066535946
ETH,2019-08-18,194.7744371187,185.6367732806,197.9024857431,183.3606365382
ETH,2019-08-20,198.1378701693,194.7750046647,203.530310613,193.0932168344
ETH,2019-08-21,184.8960217518,198.1406677926,198.2963583724,180.5554796135
ETH,2019-08-23,193.9669058738,184.8933108786,196.3663187793,182.8136615152
ETH,2019-08-25,186.1119314503,194.0346256867,194.2765906992,183.1354369181
ETH,2019-08-26,188.0709594489,186.8025597743,194.0876921793,185.8345895415
ETH,2019-08-28,174.059016341,188.0587573976,189.1812179692,166.3943473871
ETH,2019-08-29,168.9614619692,174.0616853228,174.0883113206,163.9105753218
ETH,2019-08-30,168.6898906234,168.9515701676,170.3022488962,165.7575073259
ETH,2019-08-31,172.8455753702,168.5187352739,174.9729731023,166.0265663214
ETH,2019-09-01,172.0143992107,172.826160257,173.5498796462,168.1103539739
ETH,2019-09-03,180.3972338053,172.021334776,183.0464879759,170.5520436806
ETH,2019-09-04,174.3697252053,180.3998343684,180.703478003,173.4475722367
ETH,2019-09-05,174.9847094505,174.3779947508,175.5946977666,169.7753623021
ETH,2019-09-06,169.1709224623,174.998372023,178.328507888,165.4529089527
ETH,2019-09-07,178.645235159,169.1518812618,181.02045326,168.7406680728
ETH,2019-09-08,181.4454540023,178.2157072561,184.288189458,177.1594462707
ETH,2019-09-09,182.2717700833,181.4413664128,185.454033352,176.2742855079
ETH,2019-09-10,179.4033828685,182.2687223568,184.5444279023,176.9742999851
ETH,2019-09-11,178.3436658993,179.9270524235,182.5128769522,174.4060047173
ETH,2019-09-12,181.2873035665,178.3473136473,182.5456220746,176.8659888438
ETH,2019-09-14,187.4962298211,181.2892050893,188.6503457173,177.8017548907
ETH,2019-09-16,197.7618966425,188.6049836937,199.7446388264,186.1629628079
ETH,2019-09-17,211.8446526245,197.7609893095,215.1567034564,196.4356547562
ETH,2019-09-19,220.4508762286,211.8258499684,224.0578836109,202.4375991955
ETH,2019-09-20,214.5472068317,220.4685404761,222.9280726951,212.2803286085
ETH,2019-09-22,215.6904162106,214.5594235995,221.3215019203,213.6352797149
ETH,2019-09-23,201.7345164348,215.6898085865,216.4274729573,198.7209498634
ETH,2019-09-24,168.9992628285,201.7106798027,202.7948100303,153.5773183352
ETH,2019-09-25,169.9438201808,166.4584064831,175.2361698107,162.3989671108
ETH,2019-09-27,172.7389316275,169.9462634949,177.1355994737,152.7922749888
ETH,2019-09-28,172.9975519826,174.0520062107,175.5296414744,168.5297636864
ETH,2019-09-29,171.0073196817,172.9944184423,174.6299600264,164.6522820295
ETH,2019-09-30,177.9168791987,169.4650463295,180.7383956682,165.5019503921
ETH,2019-10-01,176.9313025671,181.1987394304,185.5531425202,173.9327108729
ETH,2019-10-02,178.612262899,176.9355935779,179.2120178119,174.3922358868
ETH,2019-10-04,175.1317829483,178.61447317,181.423930089,169.9848043747
ETH,2019-10-05,176.0604430049,175.0228573538,179.0944323154,171.2040496556
ETH,2019-10-06,169.4697137162,176.5445171112,177.0911150888,168.1019019064
ETH,2019-10-08,181.4028512955,169.4751613668,182.530127763,168.6814466764
ETH,2019-10-09,193.151232685,181.4028352124,194.6156620796,177.5541288448
ETH,2019-10-10,192.198199247,193.1521878248,195.7089690343,187.0135686303
ETH,2019-10-11,181.0085295243,192.1985797807,196.9808386167,179.6352638613
ETH,2019-10-12,180.7913299807,181.0120341547,184.5822470687,177.8028309226
ETH,2019-10-13,181.5366658398,179.8019772486,184.5515804,178.7876886027
ETH,2019-10-14,186.123827056,181.5367926783,187.5599757495,180.4860190989
ETH,2019-10-16,174.7540831526,180.5031229769,181.2679391283,171.8682058198
ETH,2019-10-18,176.3901046425,174.754194627,178.9594704902,172.796886507
ETH,2019-10-19,171.1585128402,176.3914357805,177.2022734709,168.7672567184
ETH,2019-10-20,174.6693846894,171.1615027168,176.5968296114,169.4636790322
ETH,2019-10-21,173.7658273815,175.1423785872,177.6712917158,171.8260005516
ETH,2019-10-23,159.5431046304,173.7639581081,175.2730854426,153.3632515025
ETH,2019-10-25,161.0687513033,159.5283559156,163.749360381,158.9530045613
ETH,2019-10-26,179.9804506089,160.4766970956,187.5246291896,160.437827857
ETH,2019-10-27,184.9332868639,179.9785938354,197.8758978062,174.0566950798
ETH,2019-10-28,183.9328015641,184.9408817508,189.8001354711,180.7852768846
ETH,2019-10-29,192.3885043623,181.9923264158,192.8824666102,181.5986432951
ETH,2019-10-30,183.3652157781,192.3960443291,192.5929548786,180.1672521219
ETH,2019-10-31,181.5668036255,183.3729921191,185.2490925958,177.9502359694
ETH,2019-11-01,182.873979546,181.5678529173,184.600407325,177.6418123086
ETH,2019-11-02,182.8533039537,183.0484886922,185.5946073004,181.8530859582
ETH,2019-11-03,182.2438145131,182.8529696817,184.8237730087,179.1527610841
ETH,2019-11-04,185.3686817257,182.245439942,188.4429224346,180.4331643837
ETH,2019-11-05,188.8571937095,185.974435819,192.2945771883,182.6067912716
ETH,2019-11-06,191.0586073424,188.854812011,194.5981294983,187.9802996824
ETH,2019-11-07,187.0749396053,191.0565461602,192.1825384476,184.599135255
ETH,2019-11-08,184.4694666775,186.5114333645,188.0422281657,180.981215341
ETH,2019-11-09,185.1915991945,184.4704385404,185.6216232395,182.4951389114
ETH,2019-11-10,189.7227332618,185.1912962638,191.3733014377,183.2634617811
ETH,2019-11-11,185.3595169522,189.7216904786,190.0451626625,184.6442021819
ETH,2019-11-12,186.3251476172,185.3596158039,187.1059620068,182.1945967687
ETH,2019-11-13,187.2511139834,186.3258675955,189.2966120272,185.1390974421
ETH,2019-11-14,184.8074617077,187.80498324,188.3566912825,182.8920146705
